127.0.0.1 - - [23/Feb/2022:04:41:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/main.jsp HTTP/1.1" 200 23658
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/css/header.css HTTP/1.1" 200 21179
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/youtube.png HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/facebook.png HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/twiter.png HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/instagram.png HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/logo.png HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/join.png HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/check.png HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/logo_footer.gif HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/footer_top_banner.jpg HTTP/1.1" 200 100342
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/direct.png HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:12 +0900] "GET /project2.4/image/footer_main_banner.jpg HTTP/1.1" 200 131645
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:40 +0900] "GET /project2.4/main.jsp HTTP/1.1" 200 23658
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:44 +0900] "GET /project2.4/login.jsp HTTP/1.1" 200 21974
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:41:44 +0900] "GET /project2.4/image/login_banner.jpg HTTP/1.1" 200 123933
0:0:0:0:0:0:0:1 - - [23/Feb/2022:04:45:34 +0900] "GET /project2.4/join.jsp HTTP/1.1" 200 13620
0:0:0:0:0:0:0:1 - - [23/Feb/2022:05:11:41 +0900] "GET /project2.4/main.jsp HTTP/1.1" 200 23658
0:0:0:0:0:0:0:1 - - [23/Feb/2022:05:11:46 +0900] "GET /project2.4/login.jsp HTTP/1.1" 200 21974
0:0:0:0:0:0:0:1 - - [23/Feb/2022:05:12:00 +0900] "GET /project2.4/join.jsp HTTP/1.1" 200 13620
0:0:0:0:0:0:0:1 - - [23/Feb/2022:05:12:45 +0900] "GET /project2.4/join-pro.jsp?name=%EA%B9%80%EC%9E%AC%EB%A0%B9&user_id=kjr0811&user_pw=1234&year_u=1998&month_u=8&day_u=11&email=fdjsoe%40naver.com HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [23/Feb/2022:05:13:08 +0900] "GET /project2.4/join-pro.jsp?name=%EA%B9%80%EC%9E%AC%EB%A0%B9&user_id=kjr0811&user_pw=1234&year_u=1998&month_u=8&day_u=11&email=fdjsoe%40naver.com HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [23/Feb/2022:05:13:12 +0900] "GET /project2.4/join-pro.jsp?name=%EA%B9%80%EC%9E%AC%EB%A0%B9&user_id=kjr0811&user_pw=1234&year_u=1998&month_u=8&day_u=11&email=fdjsoe%40naver.com HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [23/Feb/2022:05:13:35 +0900] "GET /project2.4/join.jsp HTTP/1.1" 200 13620
0:0:0:0:0:0:0:1 - - [23/Feb/2022:05:13:53 +0900] "GET /project2.4/join-pro.jsp?name=dsfafdsaf&user_id=34wresfd&user_pw=234231&year_u=1974&month_u=11&day_u=22&email=ewsd%40naver.com HTTP/1.1" 200 526
